id,mean
01/04/2024,125
02/04/2024,127
03/04/2024,132
04/04/2024,507
05/04/2024,510
06/04/2024,130
07/04/2024,132
08/04/2024,135
09/04/2024,137
10/04/2024,136
11/04/2024,512
12/04/2024,510
13/04/2024,127
14/04/2024,125
15/04/2024,126
16/04/2024,137
17/04/2024,135
18/04/2024,517
19/04/2024,502
20/04/2024,132
21/04/2024,135
22/04/2024,130
23/04/2024,127
24/04/2024,125
25/04/2024,520
26/04/2024,507
27/04/2024,125
28/04/2024,127
29/04/2024,132
30/04/2024,135
01/05/2024,127
02/05/2024,520
03/05/2024,522
04/05/2024,127
05/05/2024,130
06/05/2024,132
07/05/2024,135
08/05/2024,137
08/05/2024,137
08/05/2024,137
09/05/2024,522
10/05/2024,512
11/05/2024,125
12/05/2024,145
13/05/2024,127
14/05/2024,129
15/05/2024,132
16/05/2024,530
17/05/2024,545
18/05/2024,125
19/05/2024,127
20/05/2024,132
20/05/2024,132
21/05/2024,129
22/05/2024,127
23/05/2024,520
24/05/2024,522
25/05/2024,127
25/05/2024,127
26/05/2024,130
27/05/2024,132
28/05/2024,135
29/05/2024,137
30/05/2024,522
31/05/2024,512
